Series Name,Series Code,Country Name,Country Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Ukraine,UKR,22.3815200354454,21.1422196692438,20.8014474582473,23.0436028455845,23.5253776996167,22.0556857223262,21.9731428589433,25.5819801399067,24.8490746500426,25.2073270036707,23.5314131798551,24.7473847677298,..
Start-up procedures to register a business (number),IC.REG.PROC,Ukraine,UKR,11,11,11,10,8,7,7,6,6,..,..,..,..
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Ukraine,UKR,..,..,27.5459447019726,15.1499905317,..,11.5743871738678,9.17299238533255,3.37336946125581,..,..,..,..,..
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Ukraine,UKR,2.30274114399407,1.90898190365369,1.90236102232278,1.5336412405932,1.61331991729012,1.57929167934982,2.24502052094788,3.19235326531891,3.52015241588676,3.81184948136676,3.22834693677077,33.5465729986209,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Ukraine,UKR,120.558086,119.4564211,117.7678197,121.9416066,130.8590206,138.4411243,144.2788474,127.753861,130.6294363,129.3411657,135.025689,..,..
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Ukraine,UKR,..,..,..,4.51377335168578,6.47181490074886,6.14608294285559,6.88722574027057,5.42467179583406,5.48012498913271,5.85234985101866,4.51037362890447,5.73612895811364,..
Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,Ukraine,UKR,81.0635709518085,70.1501352168119,79.5904399551127,89.2048537258983,83.8860445715018,74.0818270299877,81.1444630701077,79.8557039770222,72.0378246948228,66.1029918384207,70.5405820106923,61.3792790776456,55.6996302732908
Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,Ukraine,UKR,133.2193180329,114.7253421448,122.399602966,127.4742133146,113.4774984731,113.1414348,109.1130012164,101.0040225126,100.9032200926,105.9686427958,128.2367109513,..,..
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Ukraine,UKR,99522725087.1,105305698734.2,124526897803.9,137133975946.7,133747125433.2,146936247161.3,127657360096.1,121887133091.9,124900214919.8,132410358174.5,135729402464.5,139330942189.4,..
Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,Ukraine,UKR,10.372575454495,20.0140149299782,19.8712891691672,16.6876964352352,16.2473251712554,20.1641064257918,15.8538267138547,11.1726918428923,8.95614166872464,10.8722201062308,7.47223001873506,7.23496923997304,..
Net migration,SM.POP.NETM,Ukraine,UKR,16490,18178,8366,13301,68840,34043,-65667,-33273,-7812,-2173,831,-6673580,1784718
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Ukraine,UKR,714000000,613000000,703000000,849000000,1003000000,1716000000,1702000000,565000000,575000000,843000000,1083000000,2036000000,94000000
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Ukraine,UKR,10700000000,4769000000,6451000000,7207000000,8175000000,4509000000,847000000,4975000000,5796000000,304000000,7954000000,221000000,4805000000
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Ukraine,UKR,13.3457445899133,14.2165605936979,14.3152260046129,17.0202714946054,16.93361275334,17.3828557704904,31.008463067178,27.3706416756044,25.1757692970513,52.8769244499365,50.5037913319706,756.116570723684,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,4066.53173828125,2639.37817382813,3078.41479492188,3704.84228515625,4004.78979492188,4187.73974609375,3104.65380859375,3096.5625,3661.45776367188,3751.7373046875,4827.845703125,4575.97509765625,5181.36279296875
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Ukraine,UKR,-9903000000,-4654000000,-5759000000,-7015000000,-7195000000,-4079000000,-299000000,-4859000000,-5175000000,58000000,-7518000000,-187000000,-4676000000
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Ukraine,UKR,25.226461707384,15.8811924594476,9.37293105078978,7.95572466274652,0.568727971803862,-0.238948626045407,12.0718562874251,10.9518559353178,7.88671745611133,2.73249209419427,9.36313917695223,20.1836366617478,12.8490222828559
